Year,Instructional_expenses,Researchal_expenses,Publical_service,Academical_support,Studental_service,Institutionalal_support,Allal_other
2017,,,,,,,
2016,12390,8437,17233,2095,1305,2895,3920
2015,12376,8082,16043,2150,1253,2843,4063
2014,11745,8028,14643,2122,1227,2589,4321
2013,11288,8026,14067,2030,1085,2389,4341
2012,10617,7794,12913,2066,1001,2280,4256
2011,10571,7794,12460,1811,987,2186,6192
2010,11416,8177,8995,1988,1096,2329,4267
2009,10109,6930,9198,1849,1034,2562,10596
2008,9742,6679,8348,1745,1001,2503,9774
2007,9175,6323,10578,1716,910,2274,9540
2006,8503,6387,9218,1549,858,2086,8462
