UnitID,Institution Name,Published in-state tuition and fees 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY)
104151,Arizona State University-Tempe,10370,10158
133951,Florida International University,6556,6556
188030,New Mexico State University-Main Campus,6094,6094
207388,Oklahoma State University-Main Campus,8321,7778
228723,Texas A & M University-College Station,11036,10176
229115,Texas Tech University,8428,8028
221759,The University of Tennessee-Knoxville,12724,12436
228769,The University of Texas at Arlington,9616,9208
228778,The University of Texas at Austin,10092,9806
228796,The University of Texas at El Paso,7548,7259
104179,University of Arizona,11769,11403
110671,University of California-Riverside,13581,13527
126614,University of Colorado Boulder,11531,11091
126562,University of Colorado Denver/Anschutz Medical Campus,9228,8692
225511,University of Houston,9519,8759
153658,University of Iowa,8575,8104
155317,University of Kansas,11455,10825
178396,University of Missouri-Columbia,9518,9509
181464,University of Nebraska-Lincoln,8537,8367
182281,University of Nevada-Las Vegas,7183,6943
187985,University of New Mexico-Main Campus,7340,7071
207500,University of Oklahoma-Norman Campus,10881,10090
230764,University of Utah,8518,8197
